house_type,orientation,area,level,decoration,price
4室2厅2卫,南北,131,中层,精装修,435
3室2厅2卫,西南,158.11,高层,精装修,688
4室2厅2卫,南北,119.12,高层,精装修,305
3室1厅2卫,西,90.26,中层,简装修,210
4室2厅2卫,南北,179.39,低层,精装修,700
2室2厅1卫,南,63.86,中层,精装修,170
4室2厅2卫,南,139,中层,毛坯,385
4室2厅3卫,西南,141,高层,简装修,640
4室2厅5卫,南北,287.05,高层,简装修,580
3室2厅1卫,南,100,低层,毛坯,277
6室2厅4卫,南,269.64,中层,精装修,1180
3室2厅2卫,南,103,低层,精装修,276
3室2厅2卫,南北,127,高层,毛坯,341
3室2厅2卫,西,90.1,低层,精装修,213
3室2厅2卫,南北,118.69,低层,精装修,320
3室1厅2卫,南北,113.03,高层,精装修,347
3室2厅3卫,南北,199,中层,豪华装修,698
4室2厅3卫,南北,144.18,高层,简装修,390
4室2厅2卫,南北,136.66,高层,简装修,430
4室2厅2卫,南北,95,低层,精装修,135
3室2厅2卫,东,93,高层,毛坯,216
4室2厅4卫,西南,255.77,低层,精装修,770
3室2厅2卫,北,80.46,高层,精装修,195
1室1厅1卫,南北,37,高层,简装修,49
4室2厅3卫,南,131.08,低层,毛坯,380
4室2厅2卫,东,142.56,中层,精装修,655
3室2厅2卫,南北,98,低层,精装修,80
4室2厅2卫,东西,97.84,低层,精装修,440
4室2厅2卫,南北,181,高层,毛坯,464.88
4室2厅2卫,南北,125.44,中层,精装修,355
1室1厅1卫,南北,37,高层,简装修,49
4室2厅2卫,南北,153,低层,精装修,670
3室2厅2卫,东,102.71,低层,毛坯,198
3室1厅1卫,东南,183,低层,豪华装修,890
3室2厅3卫,南,255,低层,豪华装修,320
4室3厅4卫,南,300.39,低层,毛坯,1600
3室2厅1卫,南北,92.04,中层,毛坯,176
3室2厅1卫,南北,89.13,高层,精装修,215
3室2厅1卫,南,89,高层,毛坯,171
2室1厅1卫,南北,64.32,高层,简装修,55
4室2厅2卫,南北,130,高层,毛坯,306
3室2厅3卫,南北,220,中层,精装修,770
3室2厅2卫,南,90.93,低层,毛坯,136
3室2厅2卫,东南,99.72,低层,精装修,265
1室1厅1卫,南北,60,中层,精装修,105
3室2厅1卫,北,90.37,低层,精装修,270
4室2厅3卫,南,161.56,低层,毛坯,480
3室2厅2卫,南,95,高层,毛坯,104
3室2厅2卫,南北,113,中层,简装修,260
3室2厅2卫,南北,79,中层,精装修,55.6
4室2厅2卫,南北,155,低层,精装修,526
3室2厅2卫,东南,107.04,中层,精装修,229
4室2厅2卫,西南,87.99,高层,毛坯,230
2室1厅1卫,东南,57.77,中层,精装修,109
3室2厅2卫,南,134.36,高层,精装修,498
3室2厅2卫,东南,107.68,中层,精装修,216
2室2厅1卫,南,94.75,低层,简装修,230
3室2厅1卫,南北,82,中层,精装修,51.8
3室1厅1卫,南,103.23,中层,简装修,188
4室2厅2卫,东,189.59,高层,精装修,530
3室2厅2卫,北,112.12,中层,简装修,253
4室2厅3卫,东南,158.56,中层,精装修,500
1室1厅1卫,西,42.32,高层,精装修,138
4室2厅3卫,南北,193.59,中层,精装修,730
3室2厅2卫,东西,96.53,中层,精装修,345
3室1厅2卫,东南,151.65,高层,精装修,300
4室2厅3卫,南北,193.63,高层,精装修,752
2室2厅1卫,西南,75.86,高层,精装修,157
5室2厅3卫,南,304.73,低层,简装修,860
3室1厅2卫,南,157.82,高层,精装修,298
2室1厅1卫,南,78.44,高层,精装修,321
2室2厅1卫,东,69.76,低层,简装修,169
3室2厅1卫,东北,73.65,中层,精装修,138.8
3室2厅2卫,东南,127.24,高层,精装修,460
2室2厅1卫,南北,70.01,低层,精装修,132
3室2厅1卫,东南,81.89,低层,精装修,163
3室1厅1卫,北,100.27,高层,毛坯,380
3室2厅2卫,西南,159.96,中层,毛坯,325
4室2厅2卫,南北,170,中层,简装修,657.9
3室2厅2卫,南北,140.25,低层,毛坯,540
3室2厅2卫,南北,95.52,中层,精装修,258
3室1厅2卫,东南,90.32,中层,精装修,198
4室1厅2卫,西南,129.8,中层,毛坯,259
3室2厅2卫,东南,113.46,中层,毛坯,126
3室2厅2卫,北,125.75,中层,精装修,231
3室2厅2卫,西,118.22,中层,毛坯,160
2室1厅1卫,东南,76.39,高层,简装修,181.5
5室3厅4卫,南,237.11,低层,精装修,880
2室1厅1卫,东,87.89,中层,简装修,188
3室1厅2卫,南,107,高层,精装修,435
3室1厅1卫,南,86.63,高层,精装修,188.3
5室4厅4卫,东,509,低层,毛坯,3500
3室2厅2卫,南北,122,中层,毛坯,130
4室2厅4卫,南,337.49,低层,精装修,1000
3室1厅1卫,南,90.8,高层,精装修,258
3室2厅1卫,西北,91.37,高层,精装修,115
2室1厅1卫,西南,88.18,高层,精装修,228
3室1厅1卫,北,118,中层,毛坯,312
1室1厅1卫,南北,56,高层,精装修,170
5室2厅5卫,南,295.6,低层,毛坯,1160
5室2厅4卫,南,210.59,高层,精装修,681
4室2厅2卫,南北,207.83,低层,毛坯,410
4室2厅4卫,南,244,低层,毛坯,460
3室2厅2卫,南北,115.66,低层,精装修,233.5
4室2厅2卫,南北,99.67,低层,精装修,125
3室2厅1卫,北,91.54,高层,毛坯,108
4室2厅2卫,北,117.8,低层,毛坯,319
3室2厅2卫,西南,89.41,高层,毛坯,260
4室2厅2卫,南北,142,高层,精装修,410
4室2厅2卫,南,143.92,高层,精装修,270
3室2厅1卫,南北,91.61,中层,精装修,151
2室2厅1卫,南北,74.71,高层,精装修,129
4室2厅2卫,西北,134.63,中层,精装修,380
4室2厅3卫,南,189.66,高层,精装修,1175
4室2厅2卫,南,113.42,低层,精装修,478
3室2厅1卫,南,87.28,中层,精装修,155
4室2厅3卫,南,143,高层,毛坯,450
3室2厅2卫,南北,137.83,中层,简装修,202
3室2厅2卫,东南,89.31,低层,简装修,226
4室4厅6卫,南,421.28,低层,毛坯,2350
2室2厅1卫,南北,92,中层,精装修,210.5
4室2厅4卫,南北,184.12,中层,精装修,1200
2室2厅1卫,北,76.55,低层,精装修,205
3室2厅1卫,西南,88.84,中层,精装修,122
3室1厅1卫,西南,70.51,中层,精装修,213
2室1厅1卫,南,124.3,中层,精装修,228
3室2厅2卫,东南,141,低层,精装修,480
2室1厅1卫,西南,54,中层,毛坯,60
4室4厅3卫,南,123,低层,毛坯,180
3室1厅1卫,东南,92.78,中层,精装修,189
2室2厅2卫,南北,91.79,高层,精装修,310
3室1厅2卫,东北,90,高层,精装修,150
3室2厅2卫,东南,93,低层,毛坯,236
3室2厅1卫,西,92.18,中层,精装修,330
4室2厅2卫,西,137.13,低层,精装修,540
3室1厅1卫,北,77.92,高层,简装修,155
4室2厅2卫,南北,99.65,高层,精装修,270
3室2厅1卫,东南,82,低层,精装修,210
3室2厅2卫,西南,128.29,低层,精装修,296.2
2室1厅1卫,西,85.44,低层,简装修,162
3室1厅1卫,东,88.79,低层,精装修,228
3室1厅1卫,东南,150.81,中层,精装修,300
4室2厅2卫,南北,166.88,高层,精装修,385
3室1厅1卫,东南,70.45,高层,精装修,119
4室1厅2卫,南,136.06,高层,毛坯,425
2室1厅1卫,南,75.49,低层,简装修,125
2室2厅1卫,北,84.48,高层,精装修,97
4室2厅2卫,南北,179.39,低层,精装修,800
3室1厅2卫,南北,95.5,高层,精装修,305
