house_type,orientation,area,level,decoration,price
30,1,131,2,2,435
25,6,158.11,3,2,688
30,1,119.12,3,2,305
22,2,90.26,2,4,210
30,1,179.39,1,2,700
18,4,63.86,2,2,170
30,4,139,2,1,385
32,6,141,3,4,640
36,1,287.05,3,4,580
23,4,100,1,1,277
44,4,269.64,2,2,1180
25,4,103,1,2,276
25,1,127,3,1,341
25,2,90.1,1,2,213
25,1,118.69,1,2,320
22,1,113.03,3,2,347
27,1,199,2,3,698
32,1,144.18,3,4,390
30,1,136.66,3,4,430
30,1,95,1,2,135
25,8,93,3,1,216
34,6,255.77,1,2,770
25,1,80.46,3,2,195
10,1,37,3,4,49
32,4,131.08,1,1,380
30,8,142.56,2,2,655
25,1,98,1,2,80
30,2,97.84,1,2,440
30,1,181,3,1,464.88
30,1,125.44,2,2,355
10,1,37,3,4,49
30,1,153,1,2,670
25,8,102.71,1,1,198
20,12,183,1,3,890
27,4,255,1,3,320
37,4,300.39,1,1,1600
23,1,92.04,2,1,176
23,1,89.13,3,2,215
23,4,89,3,1,171
15,1,64.32,3,4,55
30,1,130,3,1,306
27,1,220,2,2,770
25,4,90.93,1,1,136
25,12,99.72,1,2,265
10,1,60,2,2,105
23,1,90.37,1,2,270
32,4,161.56,1,1,480
25,4,95,3,1,104
25,1,113,2,4,260
25,1,79,2,2,55.6
30,1,155,1,2,526
25,12,107.04,2,2,229
30,6,87.99,3,1,230
15,12,57.77,2,2,109
25,4,134.36,3,2,498
25,12,107.68,2,2,216
18,4,94.75,1,4,230
23,1,82,2,2,51.8
20,4,103.23,2,4,188
30,8,189.59,3,2,530
25,1,112.12,2,4,253
32,12,158.56,2,2,500
10,2,42.32,3,2,138
32,1,193.59,2,2,730
25,2,96.53,2,2,345
22,12,151.65,3,2,300
32,1,193.63,3,2,752
18,6,75.86,3,2,157
37,4,304.73,1,4,860
22,4,157.82,3,2,298
15,4,78.44,3,2,321
18,8,69.76,1,4,169
23,9,73.65,2,2,138.8
25,12,127.24,3,2,460
18,1,70.01,1,2,132
23,12,81.89,1,2,163
20,1,100.27,3,1,380
25,6,159.96,2,1,325
30,1,170,2,4,657.9
25,1,140.25,1,1,540
25,1,95.52,2,2,258
22,12,90.32,2,2,198
27,6,129.8,2,1,259
25,12,113.46,2,1,126
25,1,125.75,2,2,231
25,2,118.22,2,1,160
15,12,76.39,3,4,181.5
42,4,237.11,1,2,880
15,8,87.89,2,4,188
22,4,107,3,2,435
20,4,86.63,3,2,188.3
45,8,509,1,1,3500
25,1,122,2,1,130
34,4,337.49,1,2,1000
20,4,90.8,3,2,258
23,3,91.37,3,2,115
15,6,88.18,3,2,228
20,1,118,2,1,312
10,1,56,3,2,170
41,4,295.6,1,1,1160
39,4,210.59,3,2,681
30,1,207.83,1,1,410
34,4,244,1,1,460
25,1,115.66,1,2,233.5
30,1,99.67,1,2,125
