id,name,price,house_type,orientation,area,level,single_price,decoration

1,4室2厅ICON尚郡131平电梯房采光好,435,4室2厅2卫,南北,131,中层,33206,精装修

2,直降10万拥金1个点精装套3世茂玉锦湾洋房建设路,688,3室2厅2卫,西南,158.11,高层,43514,精装修

3,5号线南湖立交旁，精装套四，新小区，业主诚心卖，拎包入住,305,4室2厅2卫,南北,119.12,高层,25604,精装修

4,滨江和城3室1厅西,210,3室1厅2卫,西,90.26,中层,23266,简装修

5,城南核心地段！网红盘熙华府，满二，恒温恒湿系统，精装交房,700,4室2厅2卫,南北,179.39,低层,39021,精装修

6,滨江和城2室2厅南,170,2室2厅1卫,南,63.86,中层,26621,精装修

7,德商御府天骄核心美宅，温馨4室，点击一次幸福一生,385,4室2厅2卫,南,139,中层,27698,毛坯

8,新上！保利大跃层！实得面积大，朝南视野开阔！通透户型！,640,4室2厅3卫,西南,141,高层,45390,简装修

9,欧香小镇随时可看房房东诚售清水房任意装修中间楼层,580,4室2厅5卫,南北,287.05,高层,20206,简装修

10,北鑫苑清水套三，开发商交易省税，全款捡漏，上W剪刀差，现房！,277,3室2厅1卫,南,100,低层,27700,毛坯

11,【家诺好房】豪装大平层，南北通透！视野开阔！全套房设计！,1180,6室2厅4卫,南,269.64,中层,43762,精装修

12,中海锦江城云熙高档小区人文荟萃高品质的象征体验奢华生活,276,3室2厅2卫,南,103,低层,26796,精装修

13,全款捡漏北鑫苑大套三！清水房中高楼层，价格真实无税剪刀差大！,341,3室2厅2卫,南北,127,高层,26850,毛坯

14,戛纳湾滨江3室2厅西西北不交税,213,3室2厅2卫,西,90.1,低层,23640,精装修

15,（带300平露台）精装套三双卫，拎包入住，精装三大件,320,3室2厅2卫,南北,118.69,低层,26961,精装修

16,融创观玺台花园3室1厅南北,347,3室1厅2卫,南北,113.03,高层,30700,精装修

17,新房：D10天府|春熙路太古里旁，楼下地铁，品质开发商打造,698,3室2厅3卫,南北,199,中层,35075,豪华装修

18,中海锦江城免税直接签合同370万可以按揭,390,4室2厅3卫,南北,144.18,高层,27050,简装修

19,横厅南北通透套四，好楼层好采光，次新房，万科物业,430,4室2厅2卫,南北,136.66,高层,31465,简装修

20,政府补贴首付10万天府新区70年住宅交通便利户户带花园,135,4室2厅2卫,南北,95,低层,14211,精装修

21,滨江和城3室2厅东,216,3室2厅2卫,东,93,高层,23226,毛坯

22,麓山国际精装大平层，套房设计，中央空调和地暖，茵特拉肯，满5,770,4室2厅4卫,西南,255.77,低层,30105,精装修

23,海昌路，精装空房未住人，套三双卫。无大税，视野无遮挡,195,3室2厅2卫,北,80.46,高层,24236,精装修

24,成华动物园旁地铁加持LOFT自带商业体特价房37万起无,49,1室1厅1卫,南北,37,高层,13243,简装修

25,免佣城南70年住宅，经典下叠带花园城南华府怡心湖旁随时看房,380,4室2厅3卫,南,131.08,低层,28990,毛坯

26,建发天府鹭洲142实得210平,655,4室2厅2卫,东,142.56,中层,45946,精装修

27,首付1万8万起第四代住宅赠送40-70平超大花园,80,3室2厅2卫,南北,98,低层,8163,精装修

28,保利大盘买一层送一层实得142平,440,4室2厅2卫,东西,97.84,低层,44971,精装修

29,麓湖生态城云树正临红石公园四房独立电梯入户带入户花园,464.88,4室2厅2卫,南北,181,高层,25684,毛坯

30,在寂静中品味，在喧闹中生活，此房深情并茂！品质小区,355,4室2厅2卫,南北,125.44,中层,28300,精装修

